period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-08,SMI,USA-MI,EPG0,Natural Gas,PIN,Industrial Price,N3035MI3,Michigan Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),8.08,$/MCF
2023-08,SAZ,USA-AZ,EPG0,Natural Gas,PIN,Industrial Price,N3035AZ3,Arizona Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),5.51,$/MCF
2023-08,SNJ,USA-NJ,EPG0,Natural Gas,PIN,Industrial Price,N3035NJ3,New Jersey Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),6.79,$/MCF
2023-08,SLA,USA-LA,EPG0,Natural Gas,PG1,City Gate Price,N3050LA3,Natural Gas Citygate Price in Louisiana (Dollars per Thousand Cubic Feet),3.07,$/MCF
2023-08,SRI,USA-RI,EPG0,Natural Gas,PG1,City Gate Price,N3050RI3,Natural Gas Citygate Price in Rhode Island (Dollars per Thousand Cubic Feet),13.65,$/MCF
2023-08,SID,USA-ID,EPG0,Natural Gas,PG1,City Gate Price,N3050ID3,Natural Gas Citygate Price in Idaho (Dollars per Thousand Cubic Feet),2.88,$/MCF
2023-08,SUT,USA-UT,EPG0,Natural Gas,PG1,City Gate Price,N3050UT3,Natural Gas Citygate Price in Utah (Dollars per Thousand Cubic Feet),6.73,$/MCF
2023-08,SSD,USA-SD,EPG0,Natural Gas,PG1,City Gate Price,N3050SD3,Natural Gas Citygate Price in South Dakota (Dollars per Thousand Cubic Feet),4.78,$/MCF
2023-08,SIN,USA-IN,EPG0,Natural Gas,PG1,City Gate Price,N3050IN3,Natural Gas Citygate Price in Indiana (Dollars per Thousand Cubic Feet),3.87,$/MCF
2023-08,SWA,WASHINGTON,EPG0,Natural Gas,PG1,City Gate Price,N3050WA3,Natural Gas Citygate Price in Washington (Dollars per Thousand Cubic Feet),5.41,$/MCF
2023-08,SND,USA-ND,EPG0,Natural Gas,PG1,City Gate Price,N3050ND3,Natural Gas Citygate Price in North Dakota (Dollars per Thousand Cubic Feet),4.71,$/MCF
2023-08,SKS,USA-KS,EPG0,Natural Gas,PEU,Electric Power Price,N3045KS3,Kansas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),3.01,$/MCF
2023-08,SRI,USA-RI,EPG0,Natural Gas,PEU,Electric Power Price,N3045RI3,Rhode Island Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),,$/MCF
2023-08,SAL,USA-AL,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020AL3,Alabama Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),15.79,$/MCF
2023-08,SLA,USA-LA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020LA3,Louisiana Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.05,$/MCF
2023-08,SGA,USA-GA,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020GA3,Georgia Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),10.08,$/MCF
2023-08,SWY,USA-WY,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020WY3,Wyoming Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),12.07,$/MCF
2023-08,SNM,USA-NM,EPG0,Natural Gas,PCS,Price Delivered to Commercial Sectors,N3020NM3,New Mexico Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),6.62,$/MCF
2023-08,SKY,USA-KY,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SKY_4,Kentucky Natural Gas % of Total Residential - Sales (%),98.7,%
2023-08,SMD,USA-MD,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SMD_4,Maryland Natural Gas % of Total Residential - Sales (%),78.4,%
